transaction_id,user_id,amount,channel,timestamp
1,838,774.49,online,2019-01-01 00:00:00
2,606,319.5,b2b,2019-01-01 00:01:00
3,623,413.25,online,2019-01-01 00:02:00
4,159,37.99,online,2019-01-01 00:03:00
5,27,919.97,mobile,2019-01-01 00:04:00
6,483,987.15,online,2019-01-01 00:05:00
7,368,222.8,mobile,2019-01-01 00:06:00
8,650,796.18,mobile,2019-01-01 00:07:00
9,560,734.44,in-store,2019-01-01 00:08:00
10,651,929.35,online,2019-01-01 00:09:00
11,706,492.98,in-store,2019-01-01 00:10:00
12,186,539.25,mobile,2019-01-01 00:11:00
13,94,48.27,in-store,2019-01-01 00:12:00
14,294,61.76,online,2019-01-01 00:13:00
15,100,616.31,mobile,2019-01-01 00:14:00
16,918,47.19,in-store,2019-01-01 00:15:00
17,207,818.23,in-store,2019-01-01 00:16:00
18,487,135.92,b2b,2019-01-01 00:17:00
19,236,214.66,online,2019-01-01 00:18:00
20,570,315.9,in-store,2019-01-01 00:19:00
21,911,706.21,online,2019-01-01 00:20:00
22,718,963.48,online,2019-01-01 00:21:00
23,374,657.75,online,2019-01-01 00:22:00
24,996,989.18,in-store,2019-01-01 00:23:00
25,642,230.44,mobile,2019-01-01 00:24:00
26,79,225.88,online,2019-01-01 00:25:00
27,475,397.29,online,2019-01-01 00:26:00
28,484,78.69,online,2019-01-01 00:27:00
29,348,45.06,online,2019-01-01 00:28:00
30,17,770.93,b2b,2019-01-01 00:29:00
31,54,374.91,in-store,2019-01-01 00:30:00
32,257,40.33,online,2019-01-01 00:31:00
33,184,443.51,in-store,2019-01-01 00:32:00
34,462,526.68,mobile,2019-01-01 00:33:00
35,723,839.2,online,2019-01-01 00:34:00
36,111,755.75,mobile,2019-01-01 00:35:00
37,461,927.73,online,2019-01-01 00:36:00
38,513,569.27,online,2019-01-01 00:37:00
39,383,800.9,in-store,2019-01-01 00:38:00
40,476,834.98,online,2019-01-01 00:39:00
41,757,214.79,online,2019-01-01 00:40:00
42,346,442.09,online,2019-01-01 00:41:00
43,89,219.79,b2b,2019-01-01 00:42:00
44,249,689.24,online,2019-01-01 00:43:00
45,292,333.66,b2b,2019-01-01 00:44:00
46,814,785.3,online,2019-01-01 00:45:00
47,980,733.48,b2b,2019-01-01 00:46:00
48,304,371.47,mobile,2019-01-01 00:47:00
49,210,343.98,mobile,2019-01-01 00:48:00
50,633,778.93,mobile,2019-01-01 00:49:00
51,217,637.23,mobile,2019-01-01 00:50:00
52,885,516.75,online,2019-01-01 00:51:00
53,203,917.38,b2b,2019-01-01 00:52:00
54,462,438.12,in-store,2019-01-01 00:53:00
55,621,687.7,in-store,2019-01-01 00:54:00
56,549,470.93,in-store,2019-01-01 00:55:00
57,842,264.86,b2b,2019-01-01 00:56:00
58,862,394.41,mobile,2019-01-01 00:57:00
59,896,783.85,online,2019-01-01 00:58:00
60,377,918.69,online,2019-01-01 00:59:00
61,959,123.24,in-store,2019-01-01 01:00:00
62,479,362.29,online,2019-01-01 01:01:00
63,409,383.99,mobile,2019-01-01 01:02:00
64,205,552.78,in-store,2019-01-01 01:03:00
65,643,558.2,in-store,2019-01-01 01:04:00
66,542,268.14,mobile,2019-01-01 01:05:00
67,522,884.77,online,2019-01-01 01:06:00
68,286,45.44,mobile,2019-01-01 01:07:00
69,47,102.03,online,2019-01-01 01:08:00
70,274,631.04,b2b,2019-01-01 01:09:00
71,923,356.25,mobile,2019-01-01 01:10:00
72,112,67.19,online,2019-01-01 01:11:00
73,602,939.42,mobile,2019-01-01 01:12:00
74,375,974.65,online,2019-01-01 01:13:00
75,124,848.93,mobile,2019-01-01 01:14:00
76,516,708.11,b2b,2019-01-01 01:15:00
77,211,640.93,online,2019-01-01 01:16:00
78,987,161.93,mobile,2019-01-01 01:17:00
79,878,249.57,online,2019-01-01 01:18:00
80,564,626.27,online,2019-01-01 01:19:00
81,122,67.6,online,2019-01-01 01:20:00
82,337,80.15,online,2019-01-01 01:21:00
83,891,10.85,in-store,2019-01-01 01:22:00
84,825,652.35,online,2019-01-01 01:23:00
85,863,533.41,online,2019-01-01 01:24:00
86,754,892.31,mobile,2019-01-01 01:25:00
87,472,894.43,online,2019-01-01 01:26:00
88,382,144.4,mobile,2019-01-01 01:27:00
89,943,271.03,online,2019-01-01 01:28:00
90,644,506.05,mobile,2019-01-01 01:29:00
91,165,310.57,online,2019-01-01 01:30:00
92,50,574.39,online,2019-01-01 01:31:00
93,934,516.72,online,2019-01-01 01:32:00
94,13,274.31,online,2019-01-01 01:33:00
95,91,961.16,in-store,2019-01-01 01:34:00
96,908,320.61,b2b,2019-01-01 01:35:00
97,100,547.9,online,2019-01-01 01:36:00
98,753,176.6,online,2019-01-01 01:37:00
99,478,47.19,in-store,2019-01-01 01:38:00
100,462,218.64,online,2019-01-01 01:39:00
101,149,788.17,online,2019-01-01 01:40:00
102,845,750.72,in-store,2019-01-01 01:41:00
103,530,85.96,b2b,2019-01-01 01:42:00
104,987,774.17,b2b,2019-01-01 01:43:00
105,619,318.55,b2b,2019-01-01 01:44:00
106,142,42.55,in-store,2019-01-01 01:45:00
107,887,661.23,in-store,2019-01-01 01:46:00
108,172,920.12,in-store,2019-01-01 01:47:00
109,769,212.41,in-store,2019-01-01 01:48:00
110,461,168.61,in-store,2019-01-01 01:49:00
111,434,158.67,b2b,2019-01-01 01:50:00
112,55,885.39,online,2019-01-01 01:51:00
113,179,689.55,b2b,2019-01-01 01:52:00
114,532,831.95,in-store,2019-01-01 01:53:00
115,95,685.55,in-store,2019-01-01 01:54:00
116,977,427.07,online,2019-01-01 01:55:00
117,103,632.62,in-store,2019-01-01 01:56:00
118,255,631.79,in-store,2019-01-01 01:57:00
119,456,164.14,mobile,2019-01-01 01:58:00
120,218,728.66,online,2019-01-01 01:59:00
121,517,747.25,online,2019-01-01 02:00:00
122,192,244.11,in-store,2019-01-01 02:01:00
123,9,634.53,b2b,2019-01-01 02:02:00
124,561,375.42,b2b,2019-01-01 02:03:00
125,619,485.1,online,2019-01-01 02:04:00
126,263,15.23,mobile,2019-01-01 02:05:00
127,653,144.14,mobile,2019-01-01 02:06:00
128,807,608.2,online,2019-01-01 02:07:00
129,445,558.76,in-store,2019-01-01 02:08:00
130,620,677.78,online,2019-01-01 02:09:00
131,9,159.33,mobile,2019-01-01 02:10:00
132,315,477.56,in-store,2019-01-01 02:11:00
133,471,954.44,online,2019-01-01 02:12:00
134,805,169.86,online,2019-01-01 02:13:00
135,86,178.49,online,2019-01-01 02:14:00
136,704,472.44,online,2019-01-01 02:15:00
137,677,881.33,in-store,2019-01-01 02:16:00
138,841,60.49,mobile,2019-01-01 02:17:00
139,794,146.21,in-store,2019-01-01 02:18:00
140,545,633.56,in-store,2019-01-01 02:19:00
141,295,240.99,online,2019-01-01 02:20:00
142,248,148.0,b2b,2019-01-01 02:21:00
143,369,661.57,in-store,2019-01-01 02:22:00
144,536,331.64,mobile,2019-01-01 02:23:00
145,123,356.14,in-store,2019-01-01 02:24:00
146,686,527.16,mobile,2019-01-01 02:25:00
147,465,802.36,b2b,2019-01-01 02:26:00
148,754,447.58,online,2019-01-01 02:27:00
149,937,253.42,in-store,2019-01-01 02:28:00
150,116,509.56,mobile,2019-01-01 02:29:00
151,136,518.97,mobile,2019-01-01 02:30:00
152,217,312.95,in-store,2019-01-01 02:31:00
153,148,719.39,mobile,2019-01-01 02:32:00
154,825,300.75,online,2019-01-01 02:33:00
155,441,642.25,in-store,2019-01-01 02:34:00
156,109,173.99,mobile,2019-01-01 02:35:00
157,782,637.43,b2b,2019-01-01 02:36:00
158,415,490.4,online,2019-01-01 02:37:00
159,599,534.14,in-store,2019-01-01 02:38:00
160,540,296.38,online,2019-01-01 02:39:00
161,162,106.82,in-store,2019-01-01 02:40:00
162,861,524.49,online,2019-01-01 02:41:00
163,901,330.74,online,2019-01-01 02:42:00
164,384,819.08,mobile,2019-01-01 02:43:00
165,710,748.4,mobile,2019-01-01 02:44:00
166,365,799.33,online,2019-01-01 02:45:00
167,528,155.58,online,2019-01-01 02:46:00
168,91,724.09,online,2019-01-01 02:47:00
169,809,690.46,b2b,2019-01-01 02:48:00
170,897,294.43,mobile,2019-01-01 02:49:00
171,566,895.32,b2b,2019-01-01 02:50:00
172,238,683.72,in-store,2019-01-01 02:51:00
173,624,748.63,online,2019-01-01 02:52:00
174,780,982.42,online,2019-01-01 02:53:00
175,685,969.71,b2b,2019-01-01 02:54:00
176,220,445.32,mobile,2019-01-01 02:55:00
177,52,268.15,online,2019-01-01 02:56:00
178,415,368.36,online,2019-01-01 02:57:00
179,154,543.82,in-store,2019-01-01 02:58:00
180,315,410.64,in-store,2019-01-01 02:59:00
181,84,385.13,online,2019-01-01 03:00:00
182,518,284.55,online,2019-01-01 03:01:00
183,81,555.55,online,2019-01-01 03:02:00
184,197,670.05,online,2019-01-01 03:03:00
185,596,580.09,in-store,2019-01-01 03:04:00
186,604,765.72,online,2019-01-01 03:05:00
187,803,453.66,online,2019-01-01 03:06:00
188,505,476.25,online,2019-01-01 03:07:00
189,738,648.56,b2b,2019-01-01 03:08:00
190,202,516.77,mobile,2019-01-01 03:09:00
191,393,681.95,b2b,2019-01-01 03:10:00
192,11,739.14,online,2019-01-01 03:11:00
193,441,379.82,in-store,2019-01-01 03:12:00
194,733,888.62,b2b,2019-01-01 03:13:00
195,824,784.2,online,2019-01-01 03:14:00
196,379,353.78,in-store,2019-01-01 03:15:00
197,719,552.39,online,2019-01-01 03:16:00
198,832,229.48,in-store,2019-01-01 03:17:00
199,776,476.89,online,2019-01-01 03:18:00
200,951,478.98,mobile,2019-01-01 03:19:00
201,682,335.86,in-store,2019-01-01 03:20:00
202,988,221.64,b2b,2019-01-01 03:21:00
203,282,585.62,mobile,2019-01-01 03:22:00
204,143,105.1,online,2019-01-01 03:23:00
205,974,690.46,online,2019-01-01 03:24:00
206,500,169.59,mobile,2019-01-01 03:25:00
207,984,260.94,mobile,2019-01-01 03:26:00
208,781,948.21,in-store,2019-01-01 03:27:00
209,224,917.28,in-store,2019-01-01 03:28:00
210,558,486.05,mobile,2019-01-01 03:29:00
211,167,271.18,mobile,2019-01-01 03:30:00
212,748,949.34,mobile,2019-01-01 03:31:00
213,658,152.71,online,2019-01-01 03:32:00
214,453,690.16,in-store,2019-01-01 03:33:00
215,753,665.91,online,2019-01-01 03:34:00
216,878,692.87,online,2019-01-01 03:35:00
217,642,568.76,in-store,2019-01-01 03:36:00
218,260,819.16,in-store,2019-01-01 03:37:00
219,763,3.07,in-store,2019-01-01 03:38:00
220,466,879.57,online,2019-01-01 03:39:00
221,210,664.62,online,2019-01-01 03:40:00
222,674,164.11,mobile,2019-01-01 03:41:00
223,775,768.5,in-store,2019-01-01 03:42:00
224,15,998.68,b2b,2019-01-01 03:43:00
225,941,896.19,b2b,2019-01-01 03:44:00
226,280,264.25,in-store,2019-01-01 03:45:00
227,452,309.97,in-store,2019-01-01 03:46:00
228,639,226.63,mobile,2019-01-01 03:47:00
229,766,995.48,b2b,2019-01-01 03:48:00
230,632,89.9,online,2019-01-01 03:49:00
231,430,650.71,online,2019-01-01 03:50:00
232,15,64.46,in-store,2019-01-01 03:51:00
233,786,851.74,online,2019-01-01 03:52:00
234,816,602.53,in-store,2019-01-01 03:53:00
235,715,963.0,online,2019-01-01 03:54:00
236,695,630.87,online,2019-01-01 03:55:00
237,332,521.04,mobile,2019-01-01 03:56:00
238,688,617.24,in-store,2019-01-01 03:57:00
239,455,921.74,mobile,2019-01-01 03:58:00
240,96,373.97,online,2019-01-01 03:59:00
241,547,675.41,online,2019-01-01 04:00:00
242,983,456.14,mobile,2019-01-01 04:01:00
243,811,502.64,in-store,2019-01-01 04:02:00
244,444,907.01,online,2019-01-01 04:03:00
245,953,160.15,mobile,2019-01-01 04:04:00
246,648,356.55,in-store,2019-01-01 04:05:00
247,238,404.19,in-store,2019-01-01 04:06:00
248,180,290.86,online,2019-01-01 04:07:00
249,487,53.24,mobile,2019-01-01 04:08:00
250,771,222.54,online,2019-01-01 04:09:00
251,313,342.98,in-store,2019-01-01 04:10:00
252,622,247.87,online,2019-01-01 04:11:00
253,264,431.67,online,2019-01-01 04:12:00
254,449,233.69,online,2019-01-01 04:13:00
255,249,687.58,in-store,2019-01-01 04:14:00
256,592,38.32,b2b,2019-01-01 04:15:00
257,183,523.07,online,2019-01-01 04:16:00
258,60,282.91,mobile,2019-01-01 04:17:00
259,396,725.55,in-store,2019-01-01 04:18:00
260,879,816.07,b2b,2019-01-01 04:19:00
261,328,585.2,in-store,2019-01-01 04:20:00
262,565,203.39,mobile,2019-01-01 04:21:00
263,200,47.08,online,2019-01-01 04:22:00
264,297,334.87,in-store,2019-01-01 04:23:00
265,529,830.23,online,2019-01-01 04:24:00
266,449,954.41,online,2019-01-01 04:25:00
267,593,304.83,mobile,2019-01-01 04:26:00
268,110,99.47,in-store,2019-01-01 04:27:00
269,540,28.65,mobile,2019-01-01 04:28:00
270,326,664.29,online,2019-01-01 04:29:00
271,432,303.74,online,2019-01-01 04:30:00
272,403,216.43,b2b,2019-01-01 04:31:00
273,603,484.86,in-store,2019-01-01 04:32:00
274,859,874.31,online,2019-01-01 04:33:00
275,634,865.19,online,2019-01-01 04:34:00
276,549,489.27,online,2019-01-01 04:35:00
277,968,835.12,in-store,2019-01-01 04:36:00
278,205,228.95,online,2019-01-01 04:37:00
279,107,615.42,in-store,2019-01-01 04:38:00
280,17,223.19,mobile,2019-01-01 04:39:00
281,381,561.68,online,2019-01-01 04:40:00
282,571,845.21,in-store,2019-01-01 04:41:00
283,117,962.67,online,2019-01-01 04:42:00
284,23,34.31,in-store,2019-01-01 04:43:00
285,780,433.57,in-store,2019-01-01 04:44:00
286,702,575.91,b2b,2019-01-01 04:45:00
287,536,787.0,online,2019-01-01 04:46:00
288,837,861.31,in-store,2019-01-01 04:47:00
289,85,283.31,mobile,2019-01-01 04:48:00
290,154,464.61,online,2019-01-01 04:49:00
291,977,605.22,in-store,2019-01-01 04:50:00
292,137,607.43,online,2019-01-01 04:51:00
293,346,956.02,online,2019-01-01 04:52:00
294,539,420.02,in-store,2019-01-01 04:53:00
295,437,304.52,in-store,2019-01-01 04:54:00
296,451,473.08,online,2019-01-01 04:55:00
297,282,248.32,mobile,2019-01-01 04:56:00
298,671,395.87,b2b,2019-01-01 04:57:00
299,69,55.33,online,2019-01-01 04:58:00
300,854,173.69,online,2019-01-01 04:59:00
301,891,874.31,in-store,2019-01-01 05:00:00
302,906,941.84,online,2019-01-01 05:01:00
303,122,724.08,in-store,2019-01-01 05:02:00
304,509,778.71,b2b,2019-01-01 05:03:00
305,284,805.28,b2b,2019-01-01 05:04:00
306,440,331.28,in-store,2019-01-01 05:05:00
307,259,592.28,online,2019-01-01 05:06:00
308,159,857.02,b2b,2019-01-01 05:07:00
309,484,663.46,online,2019-01-01 05:08:00
310,201,103.95,mobile,2019-01-01 05:09:00
311,153,718.14,in-store,2019-01-01 05:10:00
312,132,777.19,mobile,2019-01-01 05:11:00
313,103,570.84,b2b,2019-01-01 05:12:00
314,387,894.65,online,2019-01-01 05:13:00
315,743,819.65,b2b,2019-01-01 05:14:00
316,417,240.33,in-store,2019-01-01 05:15:00
317,991,850.7,in-store,2019-01-01 05:16:00
318,217,658.6,online,2019-01-01 05:17:00
319,740,513.91,in-store,2019-01-01 05:18:00
320,251,538.45,mobile,2019-01-01 05:19:00
321,508,924.24,in-store,2019-01-01 05:20:00
322,491,549.94,online,2019-01-01 05:21:00
323,843,373.56,mobile,2019-01-01 05:22:00
324,597,805.78,mobile,2019-01-01 05:23:00
325,125,419.85,b2b,2019-01-01 05:24:00
326,140,4.45,mobile,2019-01-01 05:25:00
327,430,374.67,in-store,2019-01-01 05:26:00
328,839,356.39,mobile,2019-01-01 05:27:00
329,437,270.8,in-store,2019-01-01 05:28:00
330,796,712.47,mobile,2019-01-01 05:29:00
331,710,164.09,mobile,2019-01-01 05:30:00
332,903,175.31,in-store,2019-01-01 05:31:00
333,742,370.68,online,2019-01-01 05:32:00
334,770,940.84,in-store,2019-01-01 05:33:00
335,893,656.37,mobile,2019-01-01 05:34:00
336,615,113.16,in-store,2019-01-01 05:35:00
337,656,657.32,in-store,2019-01-01 05:36:00
338,5,50.24,in-store,2019-01-01 05:37:00
339,940,374.46,online,2019-01-01 05:38:00
340,884,638.13,online,2019-01-01 05:39:00
341,725,904.75,online,2019-01-01 05:40:00
342,130,234.17,mobile,2019-01-01 05:41:00
